,Month,Num_of_deaths,State
0,January,5,California
1,February,1,California
2,March,13,California
3,April,6,California
4,May,7,California
5,June,1,California
6,July,7,California
7,August,5,California
8,September,6,California
9,October,4,California
10,November,3,California
11,December,3,California
0,January,5,Texas
1,February,2,Texas
2,March,2,Texas
3,April,1,Texas
4,May,3,Texas
5,June,12,Texas
6,July,1,Texas
7,August,4,Texas
8,September,2,Texas
9,October,1,Texas
10,November,2,Texas
11,December,4,Texas
0,January,1,Florida
1,February,1,Florida
2,March,1,Florida
3,April,1,Florida
4,May,7,Florida
5,June,2,Florida
6,July,2,Florida
7,August,1,Florida
8,September,4,Florida
9,October,1,Florida
10,November,0,Florida
11,December,0,Florida
